,param_np_ratio,param_negative_perc,param_positive_sample_perc,std_test_AU_PRC,run1,run2,run3
53,3.0,0.5,1.5,0.0710204151422182,0.3243232885380835,0.5250229452070189,0.4186638445266325
54,5.0,0.5,0.25,0.1021986063086352,0.3540621120580568,0.294539701056843,0.2668934264647733
55,5.0,0.5,0.5,0.07459474087190182,0.2920275291982833,0.2291183168608493,0.3405962097336882
56,5.0,0.5,0.75,0.10816903313785442,0.25129963428424434,0.3729145991248294,0.2823525592196027
57,5.0,0.5,1.0,0.0725958068301984,0.3810370914685008,0.4179064393199102,0.4494078816961655
58,5.0,0.5,1.25,0.112136689619073,0.34902351272411103,0.3642976677225945,0.32206561879180673
59,5.0,0.5,1.5,0.15523800556679346,0.4896607716230731,0.4877590908181405,0.39469450742474
60,0.5,1.0,0.25,0.1694282841074042,0.21715169572133944,0.2974536688333727,0.10979271700672458
61,0.5,1.0,0.5,0.1573488641871413,0.2242495071222472,0.2109911952972794,0.10889690819550084
62,0.5,1.0,0.75,0.21848921247556727,0.3463689579630985,0.2450053165073559,0.4152395397653918
63,0.5,1.0,1.0,0.07341500666376631,0.534176517386553,0.3380376636405968,0.22178698173545935
64,0.5,1.0,1.25,0.17685278097667165,0.28033409967235073,0.36504264314119006,0.4633210862269717
65,0.5,1.0,1.5,0.18684627785426827,0.26266780818904506,0.4392460425546427,0.36692244566798937
66,1.0,1.0,0.25,0.17508151644985864,0.21257726337058555,0.288552204140417,0.16238555116787334
67,1.0,1.0,0.5,0.050736866069696566,0.07784931144443692,0.3911282873369661,0.185544433807562
68,1.0,1.0,0.75,0.19926046896483027,0.4359187673790798,0.29406428755574354,0.2718863957153074
69,1.0,1.0,1.0,0.09768880503013616,0.4740927870014431,0.4766682113937085,0.4800313617758133
70,1.0,1.0,1.25,0.11403292333676973,0.21169074668717186,0.1909194052175262,0.37485725803330494
71,1.0,1.0,1.5,0.18992406061272607,0.4117842161728921,0.5597712841978116,0.2973915701590136
72,1.5,1.0,0.25,0.17600102043096702,0.40899546890932975,0.2237550684435917,0.2893710756568508
73,1.5,1.0,0.5,0.07808671411827256,0.4631358004481516,0.2590940225766845,0.3907124472067455
74,1.5,1.0,0.75,0.09130542080410264,0.33886883421402475,0.3382136032631861,0.3631352670112168
