negative_perc,np_ratio,positive_sample_perc,mean_test_AU_PRC,mean_train_AU_PRC,mean_test_AU_ROC,mean_train_AU_ROC,mean_test_AVG_PREC,mean_train_AVG_PREC,std_test_AU_PRC,std_train_AU_PRC,std_test_AU_ROC,std_train_AU_ROC,std_test_AVG_PREC,std_train_AVG_PREC
0.25,3.0,0.5,0.3706444194521502,0.046636299329091954,0.9886608177890188,0.9863282893176193,0.3944162403146492,0.047124987569860236,0.03934552313528417,0.007190735308254206,0.0008910204251473382,0.0007147145782548177,0.041639514236858174,0.007269589154174465
0.25,3.0,0.75,0.36112181954578115,0.03828123458088153,0.9866967014437769,0.9840344740498448,0.38139037361490163,0.038749247786659946,0.1456185731177078,0.003734447020304155,0.0013278324984528052,0.0005324665311558846,0.14223921578509727,0.0038129561871544544
0.25,3.0,1.0,0.4482569866770052,0.03939741714753826,0.9822887027083993,0.9837567293845388,0.46812566119058,0.039824919217331334,0.1219539731469105,0.0013419850656666828,0.003940352285980484,0.00030811653623811336,0.1165983781021672,0.0013593112665650638
0.25,3.0,1.25,0.5214150984865873,0.03734438229160138,0.9786576562335334,0.980178184408604,0.5490891943449083,0.037741502128815704,0.07252340274227495,0.005022475011561084,0.0036728280867564895,0.001829016107301105,0.07432244195308674,0.005044288317525393
0.25,3.0,1.5,0.39389088729146665,0.03268689115837785,0.9865820950574349,0.9800927469774778,0.4172299274881726,0.03319427321321676,0.13598835211755392,0.002882703995390625,0.001152749465056475,0.001464587216471989,0.1386507485714432,0.0029468799581634205
0.25,5.0,0.25,0.31685306299374566,0.05065276328670852,0.9802950785119613,0.98458364751368,0.3396000621670367,0.05126366305125838,0.12052751926966393,0.0058982813893103505,0.012239630366175145,0.0016806828601560735,0.1273482924294294,0.006117448265636695
0.25,5.0,0.5,0.4365891626781517,0.0487519575774565,0.9752545052165665,0.9835903593519175,0.458146274365129,0.049210563360990014,0.06541430687945089,0.006391025377728844,0.003952484629525382,0.0004913437181452578,0.06556738735003087,0.006434001929314013
0.25,5.0,0.75,0.373508427329569,0.049038204841269646,0.9762459163241648,0.9816040799525856,0.3951072770038791,0.04955876375323289,0.04143978586835218,0.0024115199261756206,0.006049633610020868,0.0010966511843264392,0.04294602553850287,0.002485981105237354
0.25,5.0,1.0,0.41804244761967285,0.04094742478140647,0.9747128253767521,0.9801234046151446,0.4392579850651404,0.04145365506639228,0.04073323282687812,0.0015616067982657119,0.005220336102152439,0.0009558503474624367,0.04057044135353169,0.0015556154220148814
0.25,5.0,1.25,0.23862011863360263,0.039553753808603286,0.9816113394456739,0.9762959864851333,0.2545779121580855,0.04016877792912111,0.14103432830496357,0.005508092551167984,0.003291041641581105,0.0011030762110514711,0.14639259155439632,0.005537264857513411
0.25,5.0,1.5,0.40561030820668975,0.044637853618927255,0.9738794920434188,0.9762452602652505,0.43028495946192546,0.04517342439704913,0.06928060929001946,0.002382808969628954,0.005274805582848134,0.0007600664701551358,0.07168655401427909,0.0024273162192946104
0.5,0.5,0.25,0.19782052879738063,0.022439739739737306,0.9410737432816946,0.984182837362462,0.20939796712089423,0.022469241738379955,0.20899947053600806,0.004324523621838354,0.06640378372405996,0.00362469114640735,0.21948521758763206,0.004229309276052842
0.5,0.5,0.5,0.3793131084867492,0.037991410494080766,0.9753849193803351,0.987689902921308,0.39750715102585443,0.03846785746973746,0.2076321747097605,0.00742583143025822,0.006881644289659521,0.0031062166169903943,0.21417802493466095,0.007524711763855999
